"Ward","CC","region"
4.32244893396454,1.44971747980231,"Airedale NHS Foundation Trust"
5.2343763900411,8.22601662873012,"Alder Hey Children's NHS Foundation Trust"
12.2055509820587,8.46327219880794,"Ashford and St Peter's Hospitals NHS Foundation Trust"
10.8408381152919,4.96834907283444,"Avon and Wiltshire Mental Health Partnership NHS Trust"
10.7711818441083,7.7216400399916,"Barking, Havering and Redbridge University Hospitals NHS Trust"
23.145675936346,22.9182407085884,"Barnet, Enfield and Haringey Mental Health NHS Trust"
7.36539224613669,2.78998015284012,"Barnsley Hospital NHS Foundation Trust"
7.94153867341272,11.0205321352055,"Barts Health NHS Trust"
7.42010193447334,5.83942480615203,"Bedfordshire Hospitals NHS Foundation Trust"
10.791594791447,4.27690802502966,"Berkshire Healthcare NHS Foundation Trust"
12.0803478395479,8.53917343205775,"Birmingham and Solihull Mental Health NHS Foundation Trust"
18.7567317502963,6.53532595887522,"Birmingham Community Healthcare NHS Foundation Trust"
1.7952264091147,5.83639820525938,"Birmingham Women's and Children's NHS Foundation Trust"
11.5899279558704,3.30492820430053,"Black Country Healthcare NHS Foundation Trust"
5.95150748248231,3.46312477101459,"Blackpool Teaching Hospitals NHS Foundation Trust"
9.09414930118347,4.18325716541126,"Bolton NHS Foundation Trust"
25.3874441138445,7.8459713474939,"Bradford District Care NHS Foundation Trust"
7.01315631227262,2.67321227810454,"Bradford Teaching Hospitals NHS Foundation Trust"
29.9952128063671,29.9952128063671,"Bridgewater Community Healthcare NHS Foundation Trust"
10.9327118636185,8.08175929141162,"Brighton and Sussex University Hospitals NHS Trust"
13.3062338859583,6.60548151537828,"Buckinghamshire Healthcare NHS Trust"
7.8459713474939,3.79455203750751,"Calderdale and Huddersfield NHS Foundation Trust"
7.78627425300617,9.89687012522826,"Cambridge University Hospitals NHS Foundation Trust"
16.3080573050122,5.28819047893836,"Cambridgeshire and Peterborough NHS Foundation Trust"
29.9952128063671,29.9952128063671,"Cambridgeshire Community Services NHS Trust"
15.3974492277544,8.08175929141162,"Camden and Islington NHS Foundation Trust"
9.7093151672035,7.82029074901258,"Central and North West London NHS Foundation Trust"
14.930279197164,3.61492836873475,"Central London Community Healthcare NHS Trust"
7.04264520719639,4.46013004183785,"Chelsea and Westminster Hospital NHS Foundation Trust"
7.86294264755288,7.97154175803255,"Cheshire and Wirral Partnership NHS Foundation Trust"
5.11431227798946,12.4417521623134,"Chesterfield Royal Hospital NHS Foundation Trust"
13.5454022198366,12.1326763092925,"Cornwall Partnership NHS Foundation Trust"
15.5334406157676,5.74508963182266,"Countess of Chester Hospital NHS Foundation Trust"
6.00842614252224,1.9102661300475,"County Durham and Darlington NHS Foundation Trust"
12.077014326253,3.53559854601114,"Coventry and Warwickshire Partnership NHS Trust"
9.03477971847318,3.10343204838623,"Croydon Health Services NHS Trust"
11.119114087626,5.11299461293763,"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust"
12.2997981947045,1.26083737916852,"Dartford and Gravesham NHS Trust"
11.5256672646996,8.52502901368368,"Derbyshire Community Health Services NHS Foundation Trust"
7.44404190308523,3.92044303755888,"Derbyshire Healthcare NHS Foundation Trust"
20.7829834693827,18.9229856737469,"Devon Partnership NHS Trust"
10.5742308423934,2.19222872846511,"Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust"
4.94437578235881,12.077014326253,"Dorset County Hospital NHS Foundation Trust"
13.8944313748171,5.46085169568078,"Dorset Healthcare University NHS Foundation Trust"
6.68818335715005,5.6619085681168,"East and North Hertfordshire NHS Trust"
11.3886307202284,4.34551872288027,"East Cheshire NHS Trust"
10.2567767919975,5.21770814211195,"East Kent Hospitals University NHS Foundation Trust"
7.93603432793302,5.43197629484602,"East Lancashire Hospitals NHS Trust"
27.3709024351568,8.75317425723582,"East London NHS Foundation Trust"
10.349021021232,3.98450925656546,"East Suffolk and North Essex NHS Foundation Trust"
11.9312893627744,7.22243016370299,"East Sussex Healthcare NHS Trust"
10.9018379969225,2.85380345167538,"Epsom and St Helier University Hospitals NHS Trust"
19.2210300051702,3.04183510432788,"Essex Partnership University NHS Foundation Trust"
8.20512443927509,4.5401447825524,"Frimley Health NHS Foundation Trust"
9.10799628634784,5.4477102194944,"Gateshead Health NHS Foundation Trust"
8.04687884041029,6.70122054275895,"George Eliot Hospital NHS Trust"
12.051717482778,1.5141478812937,"Gloucestershire Health and Care NHS Foundation Trust"
9.13764791823788,2.13079509504956,"Gloucestershire Hospitals NHS Foundation Trust"
5.76953021263563,11.7693273164929,"Great Ormond Street Hospital for Children NHS Foundation Trust"
6.91675490637389,2.56796702193207,"Great Western Hospitals NHS Foundation Trust"
11.3001956933131,11.8716094859591,"Greater Manchester Mental Health NHS Foundation Trust"
12.0106393858819,25.7427032984041,"Guy's and St Thomas' NHS Foundation Trust"
13.974042549656,1.75986588032031,"Hampshire Hospitals NHS Foundation Trust"
7.35587953903357,10.5451794516337,"Harrogate and District NHS Foundation Trust"
12.2397424715989,1.47454487656616,"Herefordshire and Worcestershire Health and Care NHS Trust"
18.9229856737469,5.08757836625388,"Hertfordshire Community NHS Trust"
27.9104976513442,5.23104297875915,"Hertfordshire Partnership University NHS Foundation Trust"
6.34078599200148,7.8459713474939,"Homerton University Hospital NHS Foundation Trust"
27.6859081682505,2.69682220187867,"Hounslow and Richmond Community Healthcare NHS Trust"
9.155117010546,4.21985097621333,"Hull University Teaching Hospitals NHS Trust"
24.0513104202687,7.96030905848629,"Humber Teaching NHS Foundation Trust"
7.8459713474939,24.5426676806195,"Imperial College Healthcare NHS Trust"
5.23104297875915,8.42887120140831,"Isle of Wight NHS Trust"
6.74943814150023,2.28413141592601,"James Paget University Hospitals NHS Foundation Trust"
14.6919426949878,5.22046474704857,"Kent and Medway NHS and Social Care Partnership Trust"
12.2994403076929,3.87019971930889,"Kent Community Health NHS Foundation Trust"
12.271253755398,3.20634239103025,"Kettering General Hospital NHS Foundation Trust"
12.3300960346586,22.1552148937957,"King's College Hospital NHS Foundation Trust"
11.4741963190941,3.12771782044438,"Kingston Hospital NHS Foundation Trust"
10.2937040789227,1.94797529263383,"Lancashire Teaching Hospitals NHS Foundation Trust"
12.2165059358641,9.80825109034931,"Leeds and York Partnership NHS Foundation Trust"
29.9952128063671,29.9952128063671,"Leeds Community Healthcare NHS Trust"
8.34197537578344,3.44846148398715,"Leeds Teaching Hospitals NHS Trust"
13.1229451863537,2.51273133181387,"Leicestershire Partnership NHS Trust"
7.85099038537356,8.89795915679358,"Lewisham and Greenwich NHS Trust"
14.5185058651908,2.40997028152133,"Lincolnshire Community Health Services NHS Trust"
22.4723368005935,2.03321475610998,"Lincolnshire Partnership NHS Foundation Trust"
5.84170545126598,22.4584587833161,"Liverpool Heart and Chest Hospital NHS Foundation Trust"
11.8595996195291,3.56379908964827,"Liverpool University Hospitals NHS Foundation Trust"
2.83344841553552,3.59289884391951,"Liverpool Women's NHS Foundation Trust"
8.904260915335,4.72391646945338,"London North West University Healthcare NHS Trust"
11.0091836861264,4.70017491048028,"Maidstone and Tunbridge Wells NHS Trust"
11.547352784919,6.73457987997171,"Manchester University NHS Foundation Trust"
7.12882303599482,1.40005435541584,"Medway NHS Foundation Trust"
7.84263789724648,1.07275852684228,"Mersey Care NHS Foundation Trust"
8.77944138371492,3.59995607562521,"Mid and South Essex NHS Foundation Trust"
10.6770791564127,7.76648214513213,"Mid Cheshire Hospitals NHS Foundation Trust"
8.6750412275433,2.55459923471128,"Mid Yorkshire Hospitals NHS Trust"
18.9442466593868,3.22644600755244,"Midlands Partnership NHS Foundation Trust"
10.5895144478026,1.62087442670494,"Milton Keynes University Hospital NHS Foundation Trust"
29.9952128063671,29.9952128063671,"Moorfields Eye Hospital NHS Foundation Trust"
19.6124798217492,12.8184378519097,"NHS Nightingale Hospital Birmingham"
23.545386749492,11.317360964851,"NHS Nightingale Hospital Exeter"
